job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,salary_min_usd,salary_max_usd,city,country,remote_work,company_size,industry,required_skills,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_senior,is_remote_friendly,is_llm_role,salary_tier
AIJOB0001,AI Agent Developer,AI Engineering,Senior (6-9 yrs),7,Master's,239000.0,155000,290000,Boston,USA,On-site,Startup (1-50),Finance,APIs|Planning Systems|Python|Cloud|SQL|Leadership,13.1,96,16.9,6.8,2026,3,1,0,1,Senior ($200-300k)
AIJOB0002,Prompt Engineer,AI Engineering,Senior (6-9 yrs),2,Bachelor's,166000.0,90000,200000,London,UK,Hybrid,Enterprise (5000+),Finance,Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,5.4,82,11.6,6.2,2026,1,1,1,1,Upper-Mid ($150-200k)
AIJOB0003,LLM Engineer,AI Engineering,Senior (6-9 yrs),4,Associate's,360000.0,160000,300000,Seattle,USA,Fully Remote,Big Tech (FAANG+),Finance,Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,9.1,98,42.7,7.7,2026,1,1,1,1,Elite (>$300k)
AIJOB0004,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),3,Bachelor's,161000.0,130000,220000,Singapore,Singapore,Fully Remote,SME (51-500),Technology,Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,12.0,88,6.7,9.5,2026,3,1,1,0,Upper-Mid ($150-200k)
AIJOB0005,AI Product Manager,Product,Lead (10+ yrs),5,Bootcamp/Self-taught,283000.0,140000,260000,Los Angeles,USA,Fully Remote,Enterprise (5000+),Automotive,Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,9.4,85,17.3,8.9,2026,1,1,1,0,Senior ($200-300k)
AIJOB0006,AI Agent Developer,AI Engineering,Entry (0-2 yrs),5,Bootcamp/Self-taught,155000.0,155000,290000,Chicago,USA,On-site,Enterprise (5000+),Government,Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,8.0,96,67.7,8.7,2026,1,0,0,1,Upper-Mid ($150-200k)
AIJOB0007,AI Security Engineer,Security,Mid (3-5 yrs),5,Master's,197000.0,140000,260000,Boston,USA,Fully Remote,Mid-size (501-5000),Manufacturing,Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,16.3,80,12.7,6.2,2026,1,0,1,0,Upper-Mid ($150-200k)
AIJOB0008,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),7,Master's,221000.0,180000,312000,Remote,Global,Fully Remote,Startup (1-50),Education,LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,12.5,96,33.1,6.2,2025,9,0,1,0,Senior ($200-300k)
AIJOB0009,NLP Engineer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,145000.0,145000,290000,Bangalore,India,Hybrid,SME (51-500),Automotive,Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,8.1,91,79.4,8.2,2025,8,0,1,0,Mid ($100-150k)
AIJOB0010,Prompt Engineer,AI Engineering,Entry (0-2 yrs),4,Bootcamp/Self-taught,90000.0,90000,200000,Los Angeles,USA,On-site,Startup (1-50),Automotive,Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,6.1,82,15.5,7.1,2025,2,0,0,1,Entry (<$100k)
AIJOB0011,AI Solutions Architect,Architecture,Entry (0-2 yrs),7,Associate's,180000.0,180000,320000,Tokyo,Japan,On-site,Startup (1-50),Technology,Cloud|Python|Leadership|Enterprise Architecture|Cloud,8.0,84,14.8,9.5,2026,2,0,0,0,Upper-Mid ($150-200k)
AIJOB0012,Prompt Engineer,AI Engineering,Mid (3-5 yrs),1,Master's,118000.0,90000,200000,Tokyo,Japan,Hybrid,Enterprise (5000+),Education,Documentation|Python|Prompt Design|Problem Solving,9.0,82,8.9,9.7,2025,3,0,1,1,Mid ($100-150k)
AIJOB0013,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),8,Bootcamp/Self-taught,180000.0,180000,312000,Beijing,China,On-site,Startup (1-50),Retail,LLM Fine-tuning|Python|MLOps|Problem Solving|Leadership|Statistics,15.2,96,32.4,7.5,2026,2,0,0,0,Upper-Mid ($150-200k)
AIJOB0014,AI Solutions Architect,Architecture,Entry (0-2 yrs),15,Bootcamp/Self-taught,180000.0,180000,320000,Toronto,Canada,Fully Remote,Startup (1-50),Finance,System Design|Leadership|Cloud|Agile|Linux|Statistics,11.7,84,8.9,9.2,2026,3,0,1,0,Upper-Mid ($150-200k)
AIJOB0015,AI Agent Developer,AI Engineering,Senior (6-9 yrs),3,Bachelor's,209000.0,155000,290000,Dubai,UAE,Hybrid,Startup (1-50),Consulting,Python|APIs|LangChain|Tool Use|AutoGen|Communication|Statistics|Problem Solving,10.6,96,50.7,9.4,2026,1,1,1,1,Senior ($200-300k)
AIJOB0016,AI Agent Developer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,155000.0,155000,290000,Amsterdam,Netherlands,Fully Remote,Mid-size (501-5000),Research,LangChain|Tool Use|Planning Systems|AutoGen|Python|Git,13.5,96,75.9,8.2,2025,3,0,1,1,Upper-Mid ($150-200k)
AIJOB0017,ML Engineer,AI Engineering,Entry (0-2 yrs),6,PhD,120000.0,120000,280000,Paris,France,Fully Remote,Mid-size (501-5000),Healthcare,TensorFlow|Kubernetes|MLOps|Linux|Communication|Problem Solving,8.2,97,68.8,7.3,2026,3,0,1,0,Mid ($100-150k)
AIJOB0018,Generative AI Engineer,AI Engineering,Mid (3-5 yrs),2,Bachelor's,162000.0,150000,295000,London,UK,On-site,Mid-size (501-5000),Consulting,GenAI APIs|Deployment|Diffusion Models|LLMs|Fine-tuning|Python|SQL,11.3,95,78.1,9.7,2025,11,0,0,1,Upper-Mid ($150-200k)
AIJOB0019,AI Security Engineer,Security,Senior (6-9 yrs),7,Bachelor's,228000.0,140000,260000,Sydney,Australia,Hybrid,Big Tech (FAANG+),Government,Risk Analysis|Python|Cybersecurity|Problem Solving,15.9,80,15.9,9.7,2025,10,1,1,0,Senior ($200-300k)
AIJOB0020,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bachelor's,185000.0,141000,270000,Berlin,Germany,Hybrid,Startup (1-50),Consulting,Neural Networks|Python|TensorFlow|CUDA|PyTorch|Git|Agile|Leadership,5.8,89,12.4,6.5,2026,2,1,1,0,Upper-Mid ($150-200k)
AIJOB0021,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),3,Bootcamp/Self-taught,329000.0,160000,300000,Chicago,USA,On-site,Big Tech (FAANG+),Consulting,PyTorch|Vision-Language Models|APIs|Fine-tuning|Research|Problem Solving,12.7,90,27.5,9.0,2025,2,1,0,0,Elite (>$300k)
AIJOB0022,MLOps Engineer,ML Operations,Senior (6-9 yrs),9,Bachelor's,272000.0,130000,260000,Dubai,UAE,On-site,Big Tech (FAANG+),Technology,Monitoring|Docker|Kubernetes|MLflow|SQL,12.8,93,77.0,6.3,2026,3,1,0,0,Senior ($200-300k)
AIJOB0023,AI Business Analyst,Business,Lead (10+ yrs),7,Bootcamp/Self-taught,201000.0,95000,180000,Los Angeles,USA,On-site,Enterprise (5000+),Media,SQL|Communication|Python|Data Visualization|Business Analysis|Leadership|Research|SQL,16.5,78,16.4,9.0,2026,3,1,0,0,Senior ($200-300k)
AIJOB0024,RAG Engineer,AI Engineering,Lead (10+ yrs),3,Associate's,230000.0,145000,280000,Toronto,Canada,Fully Remote,Enterprise (5000+),Finance,Embeddings|LLMs|Vector DBs|Search Systems|LangChain|Python|Communication|Agile|Research,4.6,94,39.5,9.4,2025,3,1,1,1,Senior ($200-300k)
AIJOB0025,NLP Engineer,AI Engineering,Mid (3-5 yrs),8,Bachelor's,145000.0,145000,290000,Sydney,Australia,Hybrid,SME (51-500),Manufacturing,LLMs|Python|Transformers|Text Processing|BERT|Hugging Face|Cloud|Research|SQL,5.7,91,80.1,9.2,2026,3,0,1,0,Mid ($100-150k)
AIJOB0026,Robotics Engineer (AI),Robotics,Lead (10+ yrs),10,Master's,125000.0,125000,240000,Beijing,China,Hybrid,SME (51-500),Energy,Computer Vision|C++|Simulation|Linux|Research|Problem Solving,17.1,76,19.8,8.5,2025,7,1,1,0,Mid ($100-150k)
AIJOB0027,Senior Data Scientist,Data Science,Entry (0-2 yrs),8,PhD,157000.0,157000,218000,Zurich,Switzerland,Fully Remote,SME (51-500),Technology,Causal Inference|Leadership|ML|Advanced Statistics|Deep Learning|Python|Research,3.4,90,28.8,6.9,2025,11,0,1,0,Upper-Mid ($150-200k)
AIJOB0028,ML Engineer,AI Engineering,Mid (3-5 yrs),6,Bachelor's,224000.0,120000,280000,San Francisco,USA,Hybrid,SME (51-500),Energy,MLOps|Python|PyTorch|SQL|Agile|Statistics|Linux,15.5,97,23.4,9.1,2026,1,0,1,0,Senior ($200-300k)
